COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C057	A	7	4,8	4,5	9,5	8,5	4	6	2	2
C052	RN	3,8	5,1	5,6	4,6	5,7	2	0	0	0
C058	RN	3,4	4	3,5	5,5	6,4	4	7	2	4
C044	RN	3,6	4,7	6,5	5,3	7,6	0	0	0	0
C059	A	5,1	6,2	6	6,7	5,5	1	2	0	0
C004	RN	3,6	6,6	6,4	7,7	4	6	2	4	4
C006	RN	1,9	4,6	2,5	0	0	12	2	6	4
C060	A	 					0	0	0	0
C037	A	7,2	8,4	5,9			0	0	0	0
C043	RN	2,8	0,3	5,3			0	0	0	0
C004	RN	2	0	0	0	0	8	4	4	0
C052	RN	2,5	5,1	5,6	4,6	5,7	6	0	10	2
C058	A	5,5	4	3,5	5,5	6,4	2	16	16	4
C044	RN	3,7	4,7	6,5	5,3	7,6	4	0	6	2
C043	RN	0,9	3,85	0	0	0	0	0	0	0
C177	RN	0					16	0	0	0
C052	A	7,5	7,6	6,2	8,6	7,9	0	0	0	0
C044	RN	0	0	0	0	0	0	0	0	0
C043	RN	0					0	0	0	0
C013	RN	0	0	0	0	0	0	0	0	0
C061	RN	2	3,5	3,5	1,3	0	0	5	14	4
C062	RN	0	0	0	0	0	0	0	0	0
C106	RN	0	0	0	0	0	0	24	36	34
C178	RN	0					0	0	0	0
C063	RN	2,2	1,6	4,8	2,4	0	4	0	18	18
C064	RF	2,3	2,3	4,4	0	0	8	12	14	34
C066	RN	1,3	2,7	1,7	0,9	0	0	6	8	6
C004	A	7,2	2,5	6,3	7	6,8	0	0	0	0
C005	A	8,2	4,3	3,8	5,4	8,1	0	0	0	0
C007	A	8,1	5,5	5,9	3,5	5,5	0	0	0	0
C165	A	7,8	5,3	9,8	8,3	6,8	0	0	0	0
C160	A	8,1	8	7,6	8,6	7,2	0	0	0	0
C166	A	7,3	9,1	5,8	6,5	7,1	0	0	0	0
C167	A	7	8	6	8	5	0	0	0	0
C057	RN	4,1	4,5	5,3	7	7,3	0	0	0	0
C179	A	7	3,9	8,6	6,3	8,4	0	0	0	0
C180	A	7,2	8,3	6,2	4,6	9,4	0	0	0	0
C132	A	6,3	10	5,2	3,5	7,8	0	0	0	0
C133	A	5,3	9,5	4,3	1,2	8	0	0	0	0
C134	A	7,9	7,5	6,4	8	9,9	0	0	0	0
C135	A	5,4	7,7	8,4	3	6,1	0	0	0	0
C136	A	5,2	8,8	5,3	3	7	0	0	0	0
